Rhode Island;2,862;30,27
Kansas;1,355;39,461
Illinois;921;117,057
Louisiana;730;34,048
Georgia;624;65,667
Nevada;594;17,985
Colorado;591;33,574
Delaware;563;5,451
New York;561;109,48
Florida;522;110,691
Texas;510;146,111
Maryland;493;29,78
Ohio;432;50,424
Pennsylvania;426;54,47
Alabama;402;19,692
Arizona;392;28,112
New Jersey;359;31,863
South Carolina;346;17,642
California;338;133,145
Mississippi;332;9,907
Tennessee;299;20,255
North Carolina;292;30,32
Massachusetts;241;16,565
Kentucky;233;10,417
Virginia;226;19,216
New Mexico;220;4,611
Missouri;218;13,375
Arkansas;211;6,359
Hawaii;211;2,993
Michigan;206;20,559
Wisconsin;194;11,254
Oregon;192;8,021
Utah;192;6,061
Connecticut;187;6,671
Indiana;177;11,867
Oklahoma;173;6,851
Washington;172;12,919
Minnesota;169;9,459
Maine;167;2,241
New Hampshire;163;2,205
West Virginia;157;2,845
Idaho;155;2,719
Vermont;132;825
North Dakota;131;999
Nebraska;125;2,409
Alaska;122;896
Iowa;119;3,761
Wyoming;107;621
Montana;106;1,13
South Dakota;77;673
